category,images,image_auroc,image_aupr,image_f1_max,pixel_auroc,pixel_aupr,pixel_aupro,pixel_f1_max,defect_type_accuracy,defect_type_macro_f1,total_seconds
candle,200,0.9144999999999999,0.9117103310751042,0.8461538461538461,0.9939927061101075,0.4582948760152537,0.969606865856819,0.5248173614095402,,,129.64183182903798
capsules,160,0.9835,0.9903820518301827,0.9547738693467337,0.9915773632611974,0.39103343664249424,0.9487383687112777,0.4725225831151765,,,96.94163486198522
cashew,150,0.9786,0.9882024259143516,0.9560975609756097,0.9861726065701045,0.5220455610127097,0.9806928210628928,0.5348501732755232,,,94.38423012103885
chewinggum,150,0.9857999999999999,0.9933903538847765,0.9644670050761421,0.9940850752823047,0.8298181867414856,0.9415361274045116,0.7798768949523041,,,93.71508146304404
fryum,150,0.9368,0.9706896813689635,0.9082125603864735,0.9730773066929255,0.4597046521636948,0.9190013002234839,0.5009273041913435,,,112.0340043050237
macaroni1,200,0.9468,0.9406486371090799,0.8942307692307693,0.9951023830819828,0.26376997118119194,0.9566793966466166,0.3298031659308764,,,123.31708655401599
macaroni2,200,0.7936000000000001,0.7164546816486279,0.7727272727272727,0.9933782700767411,0.1734381755866373,0.9359107341669387,0.2727108068777286,,,174.4845771290129
pcb1,200,0.8784,0.8509984414591514,0.8512820512820513,0.9939438005648445,0.7205911721074342,0.9221162388450871,0.7575524584190492,,,122.91811330599012
pcb2,200,0.9312,0.897851809411496,0.8878504672897196,0.9672946469848139,0.40660706653075773,0.9150036606630001,0.48153675331741236,,,178.62988070800202
pcb3,201,0.9400990099009899,0.945890561703219,0.8823529411764706,0.9738519317372759,0.4216444945313954,0.9060705575455401,0.48234282460577843,,,178.5290829159785
pcb4,201,0.9822772277227723,0.976801427495215,0.9655172413793104,0.9655894445911694,0.283890040183374,0.8982006213195334,0.3211337315374578,,,156.28853186802007
pipe_fryum,150,0.9604,0.9782625279093937,0.937799043062201,0.9884845420614747,0.4462447959528958,0.9726187836893182,0.5293005103047008,,,91.25459856400266
macro_average,,0.9359980198019802,0.9301069109007968,0.9017887190072167,0.9847125064179117,0.44809020238744374,0.938847956344585,0.4989478806614076,,,
