category,images,image_auroc,image_aupr,image_f1_max,pixel_auroc,pixel_aupr,pixel_aupro,pixel_f1_max,defect_type_accuracy,defect_type_macro_f1,total_seconds
candle,200,0.9129999999999999,0.9107293381234148,0.8440366972477065,0.9939927061101075,0.4582948760152537,0.969606865856819,0.5248173614095402,,,128.90918248900562
capsules,160,0.9856666666666667,0.9915062538687193,0.96,0.9915773632611974,0.39103343664249424,0.9487383687112777,0.4725225831151765,,,96.65453016498941
cashew,150,0.9792000000000001,0.9890605751398105,0.9556650246305419,0.9861726065701045,0.5220455610127097,0.9806928210628928,0.5348501732755232,,,94.38747473500553
chewinggum,150,0.9855999999999999,0.9932928025542029,0.9644670050761421,0.9940850752823047,0.8298181867414856,0.9415361274045116,0.7798768949523041,,,94.19543642600183
fryum,150,0.938,0.9713510723240995,0.9029126213592233,0.9730773066929255,0.4597046521636948,0.9190013002234839,0.5009273041913435,,,113.08293343399419
macaroni1,200,0.9466000000000001,0.9412611518106397,0.8888888888888888,0.9951023830819828,0.26376997118119194,0.9566793966466166,0.3298031659308764,,,124.43311616400024
macaroni2,200,0.7922,0.7196104973725708,0.7777777777777778,0.9933782700767411,0.1734381755866373,0.9359107341669387,0.2727108068777286,,,175.72667419101344
pcb1,200,0.8762000000000001,0.848340846616445,0.8350515463917526,0.9939438005648445,0.7205911721074342,0.9221162388450871,0.7575524584190492,,,123.42606163799064
pcb2,200,0.9299999999999999,0.8900869903334186,0.8909952606635071,0.9672946469848139,0.40660706653075773,0.9150036606630001,0.48153675331741236,,,179.8909103719925
pcb3,201,0.9469306930693069,0.953773403375582,0.8878048780487805,0.9738519317372759,0.4216444945313954,0.9060705575455401,0.48234282460577843,,,179.58975809198455
pcb4,201,0.9845544554455445,0.980621915473903,0.9607843137254902,0.9655894445911694,0.283890040183374,0.8982006213195334,0.3211337315374578,,,157.26291452298756
pipe_fryum,150,0.964,0.9805797981344717,0.9428571428571428,0.9884845420614747,0.4462447959528958,0.9726187836893182,0.5293005103047008,,,91.56117102399003
macro_average,,0.9368293179317932,0.9308512204272731,0.9009367630555795,0.9847125064179117,0.44809020238744374,0.938847956344585,0.4989478806614076,,,
