category,images,image_auroc,image_aupr,image_f1_max,pixel_auroc,pixel_aupr,pixel_aupro,pixel_f1_max,defect_type_accuracy,defect_type_macro_f1,total_seconds
candle,200,0.9133000000000001,0.9110996534661976,0.8461538461538461,0.9939927061101075,0.4582948760152537,0.969606865856819,0.5248173614095402,,,131.15595077903708
capsules,160,0.9866666666666666,0.9920446969205983,0.9595959595959596,0.9915773632611974,0.39103343664249424,0.9487383687112777,0.4725225831151765,,,97.91018837998854
cashew,150,0.979,0.9886390707227963,0.96,0.9861726065701045,0.5220455610127097,0.9806928210628928,0.5348501732755232,,,95.59739679796621
chewinggum,150,0.9852,0.9931178819860533,0.9644670050761421,0.9940850752823047,0.8298181867414856,0.9415361274045116,0.7798768949523041,,,94.97927354602143
fryum,150,0.9363999999999999,0.9706178413630724,0.9047619047619048,0.9730773066929255,0.4597046521636948,0.9190013002234839,0.5009273041913435,,,112.66620801296085
macaroni1,200,0.9487,0.9453351187521777,0.8909090909090909,0.9951023830819828,0.26376997118119194,0.9566793966466166,0.3298031659308764,,,125.24070598301478
macaroni2,200,0.7988,0.7290842129658749,0.7853881278538812,0.9933782700767411,0.1734381755866373,0.9359107341669387,0.2727108068777286,,,177.5141711300239
pcb1,200,0.8789,0.8498845999957588,0.84375,0.9939438005648445,0.7205911721074342,0.9221162388450871,0.7575524584190492,,,124.35886596300406
pcb2,200,0.9298,0.8907811209635439,0.897196261682243,0.9672946469848139,0.40660706653075773,0.9150036606630001,0.48153675331741236,,,181.3469496659818
pcb3,201,0.9462376237623762,0.9524490918822609,0.8846153846153846,0.9738519317372759,0.4216444945313954,0.9060705575455401,0.48234282460577843,,,180.6071801360231
pcb4,201,0.9864356435643564,0.983221034908339,0.9655172413793104,0.9655894445911694,0.283890040183374,0.8982006213195334,0.3211337315374578,,,158.13811810297193
pipe_fryum,150,0.9668,0.9821044040120218,0.9428571428571428,0.9884845420614747,0.4462447959528958,0.9726187836893182,0.5293005103047008,,,91.91389443003573
macro_average,,0.93801999449945,0.9323648939948912,0.9037676637404087,0.9847125064179117,0.44809020238744374,0.938847956344585,0.4989478806614076,,,
