category,images,image_auroc,image_aupr,image_f1_max,pixel_auroc,pixel_aupr,pixel_aupro,pixel_f1_max,defect_type_accuracy,defect_type_macro_f1,total_seconds
candle,200,0.9138999999999999,0.9115579048204508,0.8446601941747572,0.9939927061101075,0.4582948760152537,0.969606865856819,0.5248173614095402,,,129.2198783790227
capsules,160,0.9861666666666666,0.9917553443244997,0.9595959595959596,0.9915773632611974,0.39103343664249424,0.9487383687112777,0.4725225831151765,,,96.83581485803006
cashew,150,0.9782,0.9881984325973505,0.96,0.9861726065701045,0.5220455610127097,0.9806928210628928,0.5348501732755232,,,97.2603253670386
chewinggum,150,0.9855999999999999,0.9932522634951576,0.9644670050761421,0.9940850752823047,0.8298181867414856,0.9415361274045116,0.7798768949523041,,,93.71696429001167
fryum,150,0.9361999999999999,0.9704927687351197,0.9047619047619048,0.9730773066929255,0.4597046521636948,0.9190013002234839,0.5009273041913435,,,112.23464272497222
macaroni1,200,0.9486,0.9451175662225008,0.8909090909090909,0.9951023830819828,0.26376997118119194,0.9566793966466166,0.3298031659308764,,,124.14524301799247
macaroni2,200,0.7997,0.7284348033765822,0.7782805429864253,0.9933782700767411,0.1734381755866373,0.9359107341669387,0.2727108068777286,,,175.25125900196144
pcb1,200,0.8792,0.8503125694999603,0.84375,0.9939438005648445,0.7205911721074342,0.9221162388450871,0.7575524584190492,,,123.22271260002162
pcb2,200,0.9289999999999999,0.8901091320886574,0.8930232558139535,0.9672946469848139,0.40660706653075773,0.9150036606630001,0.48153675331741236,,,178.8267593710334
pcb3,201,0.9457425742574257,0.9520615335689042,0.8866995073891626,0.9738519317372759,0.4216444945313954,0.9060705575455401,0.48234282460577843,,,179.04542884399416
pcb4,201,0.9862376237623762,0.9828804227356911,0.9655172413793104,0.9655894445911694,0.283890040183374,0.8982006213195334,0.3211337315374578,,,157.10411322599975
pipe_fryum,150,0.9665999999999999,0.9819946861436832,0.9428571428571428,0.9884845420614747,0.4462447959528958,0.9726187836893182,0.5293005103047008,,,91.29156722099287
macro_average,,0.937928905390539,0.9321806189673798,0.9028768204119874,0.9847125064179117,0.44809020238744374,0.938847956344585,0.4989478806614076,,,
